row_id,engagement_score
89198,4.062765
89199,3.7391539
89200,2.7107656
89201,3.8830023
89202,2.3518867
89203,3.9538074
89204,3.8008168
89205,3.6770594
89206,2.6510952
89207,3.9921074
89208,4.048152
89209,3.926884
89210,3.708608
89211,4.1903944
89212,3.4348986
89213,3.5367458
89214,2.5906549
89215,4.033536
89216,3.8649547
89217,3.1008434
89218,3.9999974
89219,3.3537455
89220,2.9579377
89221,3.3799963
89222,3.2764637
89223,3.9937875
89224,3.3450177
89225,3.5481434
89226,3.4377103
89227,3.0180848
89228,3.6868372
89229,2.71145
89230,3.2326348
89231,3.3955379
89232,3.680039
89233,2.7262027
89234,3.443875
89235,3.7045445
89236,3.4420602
89237,4.141751
89238,3.9055312
89239,3.6080728
89240,3.6940126
89241,3.5254145
89242,3.9918177
89243,4.1052785
89244,4.1161356
89245,3.5266926
89246,3.374804
89247,2.241512
89248,3.8692546
89249,2.9784238
89250,4.076992
89251,3.0708902
89252,3.517368
89253,2.958994
89254,3.3762398
89255,3.614192
89256,2.8444486
89257,3.4475882
89258,3.6276126
89259,3.3475072
89260,2.62102
89261,3.1807308
89262,3.8580954
89263,3.513444
89264,3.699391
89265,2.5168357
89266,3.496472
89267,3.5899014
89268,3.6609466
89269,3.4750984
89270,3.5384614
89271,3.4560971
89272,3.6427872
89273,3.9174988
89274,3.164138
89275,3.0419555
89276,2.6483262
89277,2.7641184
89278,4.029907
89279,2.7326324
89280,3.0656192
89281,3.4275465
89282,3.379393
89283,3.9931962
89284,4.009751
89285,2.7189093
89286,3.5959408
89287,3.3865247
89288,3.6116872
89289,3.9594967
89290,3.0225549
89291,2.9579377
89292,4.082438
89293,4.0678554
89294,3.5151546
89295,3.4040074
89296,3.391376
89297,4.046621
89298,3.7238078
89299,3.9890676
89300,3.8782184
89301,4.157189
89302,3.383219
89303,2.9786427
89304,4.083181
89305,4.0652614
89306,3.6091719
89307,3.514527
89308,3.5627685
89309,3.9180431
89310,3.353821
89311,3.5572574
89312,3.6567647
89313,3.5526323
89314,3.9203396
89315,3.4292014
89316,2.7243638
89317,2.29037
89318,3.1455936
89319,2.5944023
89320,3.4409018
89321,3.6746926
89322,3.3808777
89323,4.157189
89324,3.3935008
89325,3.6091719
89326,3.9931962
89327,4.087817
89328,2.7983625
89329,3.6023698
89330,2.9273636
89331,4.1462097
89332,3.6920273
89333,3.9616725
89334,3.6534371
89335,3.9473093
89336,2.9569454
89337,3.4503977
89338,3.9966018
89339,2.7382827
89340,3.4071598
89341,3.414962
89342,3.6907334
89343,2.7390401
89344,3.3976247
89345,3.6427872
89346,3.7203422
89347,3.9473093
89348,2.9279962
89349,3.6386983
